Node ID,Level,Source(s),Confidence
almuthanna,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
jam_almudhakkar_alsalim_wa_ma_humila_alayh,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
jam_almuannath_alsalim,3,الآجرومية؛ النحو الوافي,HIGH
alafal_alkhamsa,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
aljazm_bialsukun_wa_alhadhf,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
al_asma_wa_altaarif,1,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
alnakira_wa_almaarifa,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alnakira,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
almaarifa,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
aqsam_almaarif,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
aldamair_wa_alalam_wa_almuarrifat,2,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
aldamir_almunfasil,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
aldamir_almuttasil,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
aldamir_almustatir,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alalam,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alism_wa_alkunya_wa_allaqab,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ism_alishara,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alism_almawsul,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
al_altaarif_wa_maaniha,3,شرح ابن عقيل؛ النحو الوافي,HIGH
altaarif_bialidafa,3,استنباط من: قطر الندى وبل الصدى / شرحه؛ النحو الوافي,LOW
silat_almawsul_wa_khawaas_altaarif,2,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,LOW
silat_almawsul_aljumla_alismiyya,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
silat_almawsul_aljumla_alfiliyya,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
silat_almawsul_shibh_aljumla,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
sila_al,3,شرح ابن عقيل,MEDIUM
alaid_fi_silat_almawsul,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
hadhf_alaid,3,شرح ابن عقيل,MEDIUM
almudaf_ila_ya_almutakallim,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
ma_la_yansarif,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
haqiqat_ma_la_yansarif,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
altaarif_almiyyah,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
wazn_alfil,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
altarkib,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alujma,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
aladl,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alwasf,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
sighat_muntaha_aljumu,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ziyadat_alif_wa_nun,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
altaanith,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
al_isnad_wa_abwab_aljumla,1,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
almubtada_wa_alkhabar,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ahkam_almubtada,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ahkam_alkhabar,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alkhabar_almufrad,3,شرح ابن عقيل؛ النحو الوافي,HIGH
alkhabar_aljumla,3,شرح ابن عقيل؛ النحو الوافي,HIGH
alkhabar_shibh_aljumla,3,شرح ابن عقيل؛ النحو الوافي,HIGH
taaddud_alkhabar,3,شرح ابن عقيل؛ النحو الوافي,HIGH
taqdim_alkhabar_wa_takhiruh,3,شرح ابن عقيل؛ النحو الوافي,HIGH
hadhf_almubtada_aw_alkhabar,3,شرح ابن عقيل؛ النحو الوافي,HIGH
alnawasikh,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
kana_wa_akhawatuha,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ahwal_khabar_kana_wa_akhawatiha,3,شرح ابن عقيل؛ النحو الوافي,HIGH
ma_alnafiyya_alamila,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
la_alnafiyya_alamila,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
lat_alnafiyya,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
in_almushabbaha_bilaysa,3,شرح ابن عقيل؛ النحو الوافي,HIGH
inna_wa_akhawatuha,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
la_alnafiyya_liljins,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
afal_almuqaraba,3,ألفية ابن مالك؛ شرح ابن عقيل؛ النحو الوافي,HIGH
afal_alshuru,3,شرح ابن عقيل؛ النحو الوافي,HIGH
afal_alraja,3,شرح ابن عقيل؛ النحو الوافي,HIGH
afal_alqulub_wa_altahwil,2,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
zanna_wa_akhawatuha,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
aalama_wa_ara,3,شرح ابن عقيل؛ النحو الوافي,HIGH
asalib_alikhbar_wa_altahwil,2,استقراء تنظيمي من: ألفية ابن مالك؛ شرح ابن عقيل,LOW
alikhbar_bialladhi,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
alikhbar_bialif_wa_allam,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
al_fil_wa_alamil_alfili,1,استقراء تنظيمي من: ألفية ابن مالك؛ الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي؛ تيسير وتكميل شرح ابن عقيل,LOW
irab_alfil,2,ألفية ابن مالك؛ الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alfil_almadi,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ الآجرومية,HIGH
fil_alamr,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alfil_almudari,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ الآجرومية,HIGH
raf_almudari,3,قطر الندى وبل الصدى / شرحه؛ الآجرومية؛ النحو الوافي,HIGH
nawasib_almudari,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ الآجرومية؛ شرح ابن عقيل؛ النحو الوافي,HIGH
jawazim_almudari,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ الآجرومية؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ma_yajzim_filan_wahidan,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
ma_yajzim_filayn,3,قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
nunaa_altawkid,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
alisnad_alfili,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alfail,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
naib_alfail,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
taaqub_alawamil,2,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,LOW
alishtighal,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
altanazu,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
adawat_alshart_wa_alrabt,2,استقراء تنظيمي من: ألفية ابن مالك؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,LOW
law,3,ألفية ابن مالك؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
amma,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
lawla,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
lawma,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
al_fudlat_wa_almutaalliqat,1,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
almafail,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almaful_bih,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almaful_almutlaq,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almaful_lah,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
zarf_alzaman,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
zarf_almakan,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almaful_maah,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alistithna,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almustathna_biilla,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alistithna_almufarragh,3,شرح ابن عقيل؛ النحو الوافي,HIGH
tikrar_illa,3,شرح ابن عقيل,MEDIUM
almustathna_bighayr_wa_siwa,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
almustathna_bikhala_wa_ada_wa_hasha,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
almustathna_bima_khala_wa_ma_ada,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
almustathna_bilaysa_wa_la_yakun,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alhal,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
taarif_alhal,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alhal_almushtaqqa_almuntaqila,3,شرح ابن عقيل؛ النحو الوافي,HIGH
alhal_aljamida,3,شرح ابن عقيل؛ النحو الوافي,HIGH
nakirat_alhal,3,شرح ابن عقيل؛ النحو الوافي,HIGH
altamyiz,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
taarif_altamyiz,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
tamyiz_almufrad,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
tamyiz_alnisba,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alkhafd_wa_alidafa,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
huruf_aljarr,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almajrur_bialidafa,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alidafa_almahdah,3,شرح ابن عقيل؛ النحو الوافي,HIGH
alidafa_ghayr_almahdah,3,شرح ابن عقيل؛ النحو الوافي,HIGH
maani_huruf_aljarr_wa_masa_iliha,2,استقراء تنظيمي من: شرح ابن عقيل؛ النحو الوافي,LOW
maani_min,3,شرح ابن عقيل,MEDIUM
maani_allam,3,شرح ابن عقيل,MEDIUM
maani_alba,3,شرح ابن عقيل,MEDIUM
maani_ala,3,شرح ابن عقيل,MEDIUM
maani_an,3,شرح ابن عقيل,MEDIUM
maani_alkaf,3,شرح ابن عقيل,MEDIUM
rubba,3,شرح ابن عقيل؛ النحو الوافي,HIGH
mudh_wa_mundhu,3,شرح ابن عقيل؛ النحو الوافي,HIGH
kay_aljarra,3,شرح ابن عقيل,MEDIUM
laalla_aljarra,3,شرح ابن عقيل,MEDIUM
mata_aljarra,3,شرح ابن عقيل,MEDIUM
lawla_aljarra_ind_sibawayh,3,شرح ابن عقيل,MEDIUM
ziyadat_ma_baad_min_wa_an_wa_alba,3,شرح ابن عقيل,MEDIUM
ziyadat_ma_baad_rubba_wa_alkaf,3,شرح ابن عقيل,MEDIUM
hadhf_rubba,3,شرح ابن عقيل,MEDIUM
aljarr_bighayr_rubba,3,شرح ابن عقيل,MEDIUM
al_asma_alamila_wa_almushtaqat_alamila,1,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
ma_yamal_amal_alfil,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almasdar_alamil,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ism_alfail_alamil,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
amthilat_almubalaghah_alamila,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ism_almafool_alamil,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alsifa_almushabbaha_alamila,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
ism_altafdil,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
al_tawabi_wa_albayan,1,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي؛ تيسير وتكميل شرح ابن عقيل,LOW
alnaat,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي؛ تيسير وتكميل شرح ابن عقيل,HIGH
alnaat_alhaqiqi,3,استنباط من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
alnaat_alsababi,3,استنباط من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
qat_alnaat,3,شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
altawkid,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
altawkid_allafzi,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
altawkid_almanawi,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
alataf,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي؛ تيسير وتكميل شرح ابن عقيل,HIGH
ataf_albayan,3,شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
ataf_alnasaq,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
albadal,2,شرح ابن عقيل,MEDIUM
badal_alkull_min_alkull,3,شرح ابن عقيل,MEDIUM
badal_albaad_min_alkull,3,شرح ابن عقيل,MEDIUM
badal_alishtimal,3,شرح ابن عقيل,MEDIUM
badal_almubayin_wa_badl_alghalat,3,شرح ابن عقيل,MEDIUM
al_asalib_alkhassa_wa_alinsha_wa_altaqdir,1,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي؛ تيسير وتكميل شرح ابن عقيل,LOW
alnida_wa_ma_yattasil_bih,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي؛ تيسير وتكميل شرح ابن عقيل,HIGH
alnida,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almunada_almufrad_alalam_wa_alnakira_almaqsuda,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
almunada_almudaf_wa_shibh_almudaf,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
tabi_almunada_tabi_dhi_aldamm,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
almunada_almudaf_ila_ya_almutakallim,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alasma_allati_lazimat_alnida,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
alistighatha,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
alnudba,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
altarikhim,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
alikhtisas,3,ألفية ابن مالك؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
altahdhir_wa_alighra,3,ألفية ابن مالك؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
asma_alafal_wa_alaswat,2,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
asma_alafal,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
asma_alaswat,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
alasalib_altaqwimiyya,2,استقراء تنظيمي من: ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
niama_wa_bisa_wa_ma_jara_majrahuma,3,ألفية ابن مالك؛ شرح ابن عقيل؛ النحو الوافي,HIGH
altaajjub,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
sighat_ma_afala,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
sighat_afil_bih,3,ألفية ابن مالك؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
aladad_wa_alkanayat_wa_alhikaya,2,استقراء تنظيمي من: ألفية ابن مالك؛ شرح ابن عقيل؛ النحو الوافي؛ تيسير وتكميل شرح ابن عقيل,LOW
aladad_almufrad,3,شرح ابن عقيل؛ النحو الوافي,HIGH
aladad_almurakkab,3,شرح ابن عقيل؛ النحو الوافي,HIGH
aladad_almautuf,3,شرح ابن عقيل؛ النحو الوافي,HIGH
siyaghat_fail_min_aladad,3,شرح ابن عقيل,MEDIUM
tamyiz_aladad,3,شرح ابن عقيل؛ النحو الوافي,HIGH
kam_alistifhamiyya,3,شرح ابن عقيل؛ النحو الوافي,HIGH
kam_alkhabariyya,3,شرح ابن عقيل؛ النحو الوافي,HIGH
kaayin,3,ألفية ابن مالك؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
kadha,3,ألفية ابن مالك؛ شرح ابن عقيل؛ تيسير وتكميل شرح ابن عقيل,HIGH
alhikaya,3,ألفية ابن مالك؛ شرح ابن عقيل,HIGH
